feature_set,n_features,features,cv_regime,timescale_ns,model,fpr_target,auc,auc_std,pr_auc,pr_auc_std,recall,triage_rate,cost_saved,achieved_fpr,delta_recall_vs_base,delta_cost_vs_base,delta_auc_vs_base
F5_struct_energy,5,"slope, rmsd_var, mean_disp, var_disp, energy_std",pocket_gkf,3,Logistic Regression,0.2,0.6820887445887446,0.0731256642657749,0.7506760894829076,0.0969322654764228,0.4565217390311909,0.37499999995312505,0.3187499999601563,0.2647058822750865,0.0,0.0,0.0
F4_struct,4,"slope, rmsd_var, mean_disp, var_disp",pocket_gkf,3,Logistic Regression,0.2,0.7013428932178932,0.12624996845695305,0.734116230991231,0.13150875132665604,0.4130434781710775,0.33749999995781255,0.2868749999641407,0.23529411757785468,-0.043478260860113416,-0.03187499999601562,0.01925414862914865
LOFO_no_energy_std,4,"slope, rmsd_var, mean_disp, var_disp",pocket_gkf,3,Logistic Regression,0.2,0.7013428932178932,0.12624996845695305,0.734116230991231,0.13150875132665604,0.4130434781710775,0.33749999995781255,0.2868749999641407,0.23529411757785468,-0.043478260860113416,-0.03187499999601562,0.01925414862914865
LOFO_no_mean_disp,4,"slope, rmsd_var, var_disp, energy_std",pocket_gkf,3,Logistic Regression,0.2,0.7015485209235209,0.07822189113966366,0.7592069105137287,0.09507090746828745,0.5217391303213611,0.42499999994687504,0.3612499999548438,0.29411764697231835,0.06521739129017018,0.04249999999468751,0.019459776334776357
LOFO_no_rmsd_var,4,"slope, mean_disp, var_disp, energy_std",pocket_gkf,3,Logistic Regression,0.2,0.6392848124098125,0.09514213240647021,0.7256523800273801,0.0930090645475771,0.3478260868809074,0.29999999996250004,0.25499999996812506,0.23529411757785468,-0.10869565215028354,-0.06374999999203124,-0.04280393217893208
LOFO_no_slope,4,"rmsd_var, mean_disp, var_disp, energy_std",pocket_gkf,3,Logistic Regression,0.2,0.7048376623376622,0.10918858314168514,0.7661375261943444,0.11379954118524709,0.47826086946124763,0.37499999995312505,0.3187499999601563,0.23529411757785468,0.021739130430056708,0.0,0.02274891774891763
LOFO_no_var_disp,4,"slope, rmsd_var, mean_disp, energy_std",pocket_gkf,3,Logistic Regression,0.2,0.6737860750360751,0.10068953002575186,0.7138416970235152,0.1350628686498376,0.3695652173109641,0.29999999996250004,0.25499999996812506,0.20588235288062284,-0.08695652172022683,-0.06374999999203124,-0.00830266955266945
F1_energy,1,energy_std,pocket_gkf,3,Logistic Regression,0.2,0.5445680014430014,0.10032336983378773,0.6631996524799554,0.06297189227503792,0.2173913043005671,0.21249999997343752,0.1806249999774219,0.20588235288062284,-0.23913043473062381,-0.1381249999827344,-0.13752074314574314
SINGLE_mean_disp,1,mean_disp,pocket_gkf,3,Logistic Regression,0.2,0.5953851010101011,0.04621982872176586,0.7002927761071701,0.04086122354508903,0.28260869559073726,0.23749999997031251,0.20187499997476563,0.176470588183391,-0.17391304344045366,-0.11687499998539067,-0.08670364357864346
SINGLE_rmsd_var,1,rmsd_var,pocket_gkf,3,Logistic Regression,0.2,0.6905979437229437,0.12896987134325238,0.7271021725188392,0.1217830805548919,0.3695652173109641,0.3124999999609375,0.2656249999667969,0.23529411757785468,-0.08695652172022683,-0.0531249999933594,0.008509199134199119
SINGLE_slope,1,slope,pocket_gkf,3,Logistic Regression,0.2,0.6570698051948053,0.18492800039584792,0.7513316299301147,0.1403032039185464,0.23913043473062381,0.21249999997343752,0.1806249999774219,0.176470588183391,-0.2173913043005671,-0.1381249999827344,-0.025018939393939288
SINGLE_var_disp,1,var_disp,pocket_gkf,3,Logistic Regression,0.2,0.6464430014430015,0.07525969702916982,0.7238223581973582,0.0875890697668216,0.1956521738705104,0.18749999997656253,0.15937499998007815,0.176470588183391,-0.2608695651606805,-0.15937499998007815,-0.03564574314574309
